time_series,label,bearing_id
"[-0.0027614  -0.09632403  0.11370459 ... -0.05360359  0.060101
  0.00763445]",2,B007_0
"[-0.05717717  0.06789788  0.16032347 ... -0.05392846 -0.01591864
  0.01299481]",2,B007_0
"[-0.0721212   0.30310395  0.03313677 ...  0.21100323 -0.10314631
 -0.19865816]",2,B007_1
"[ 0.12734914  0.05246655 -0.23374415 ...  0.12328826  0.18371413
 -0.04515697]",2,B007_1
"[-0.31447441  0.12198878  0.39146866 ...  0.06529892  0.03898443
 -0.10931884]",2,B007_2
"[-0.09307533  0.01510647 -0.05392846 ... -0.11549138  0.12686184
  0.11646599]",2,B007_2
"[ 0.09031393  0.22497265 -0.10883154 ... -0.02322822 -0.19719625
 -0.00844663]",2,B007_3
"[ 0.13254707 -0.11240511 -0.14164343 ...  0.01039585  0.18420144
 -0.00438575]",2,B007_3
"[-0.46781317  0.17900351  0.48129529 ... -0.01234507 -0.03346164
  0.03898443]",2,B014_0
"[-0.01819273 -0.09210072  0.01884248 ...  0.10493309 -0.22497265
  0.20385609]",2,B014_0
"[ 0.00552279 -0.10379605 -0.04548184 ... -0.04239557 -0.1081818
 -0.11386703]",2,B014_1
"[-0.00422331 -0.00503549 -0.09047637 ...  0.05555281 -0.07796886
 -0.16227269]",2,B014_1
"[ 0.0688725   0.04288287  0.05360359 ... -0.07455772 -0.05214168
  0.14261804]",2,B014_2
"[ 0.02875102 -0.08511601  0.07926834 ...  0.07829373  0.23065788
 -0.15658747]",2,B014_2
"[ 0.1054204  -0.10736962 -0.16340974 ... -0.00341114  0.02095413
  0.04791836]",2,B014_3
"[ 0.09177585  0.08073026  0.05993856 ... -0.01445673 -0.05214168
 -0.03995904]",2,B014_3
"[-0.00795932  0.02533988  0.00016244 ... -0.04060878 -0.0545782
  0.1299481 ]",2,B021_0
"[ 0.10152196  0.09096367  0.05945126 ...  0.05912639  0.06724814
 -0.00032487]",2,B021_0
"[ 2.30008144e-01  1.88587186e-01 -4.26229780e-01 ... -3.37865070e-02
 -1.31247585e-01 -1.62435130e-04]",2,B021_1
"[ 0.07829373 -0.10574527 -0.02761397 ...  0.04938028 -0.02826371
  0.11549138]",2,B021_1
"[ 0.25404854 -0.05003002 -0.01315725 ...  0.07455772 -0.05376603
  0.05360359]",2,B021_2
"[ 0.19069884 -0.13287194 -0.21912499 ...  0.05376603  0.08154244
 -0.02810128]",2,B021_2
"[ 0.07244607  0.04791836 -0.25079984 ...  0.16633357 -0.07796886
  0.04515697]",2,B021_3
"[ 0.04889297 -0.02501501 -0.11646599 ...  0.07114659  0.15463824
 -0.00828419]",2,B021_3
[-0.2652988  1.6219034 -0.0358072 ... -0.4565418 -1.9189404  0.5623358],2,B028_0
[ 1.5128542 -0.6819644 -0.7617168 ... -5.566392  -0.8374002  5.5224468],2,B028_0
[ 1.6381794 -3.084302  -0.9228492 ...  0.073242  -2.3616476 -0.410969 ],2,B028_1
[ 1.757808   1.0953748 -0.5354804 ...  0.9676082  1.01725   -0.9244768],2,B028_1
[-1.6894488  0.166829   2.4218688 ...  1.1222302 -2.3868754 -0.8797178],2,B028_2
[ 2.3917582  0.1489254 -2.1541286 ... -4.0421446 -4.2814018  3.6026926],2,B028_2
[-6.5584142  4.0616758  7.613099  ... -0.5729152  3.2299722  1.5079714],2,B028_3
[-2.9809494 -1.4575158  2.5585872 ... -1.4737918  8.6759218  2.1720322],2,B028_3
"[-0.08300435 -0.19573433  0.23341928 ... -0.08073026 -0.18988667
  0.11760303]",1,IR007_0
"[ 0.21262758 -0.07439529 -0.11987713 ...  0.74866351  0.22952084
 -0.34257569]",1,IR007_0
"[-0.27760164 -0.04434479  0.11760303 ... -0.0545782  -0.12523749
 -0.13498359]",1,IR007_1
"[-0.07082172  0.11874008  0.1294608  ...  0.07472016  1.09302599
  0.82500802]",1,IR007_1
"[-0.09323776  0.1872877   0.21766307 ...  0.00487305 -0.13774499
 -0.18809988]",1,IR007_2
"[ 0.01299481  0.17819134  0.42281864 ... -0.04580671  0.03248703
 -0.00503549]",1,IR007_2
"[ 0.22269856  0.09323776 -0.14651649 ... -0.23748016  0.35573293
  0.16324731]",1,IR007_3
"[-0.60523329 -0.35134719  0.30586535 ...  0.07764399 -0.14018152
 -0.09957273]",1,IR007_3
"[-0.22383561 -0.20954132  0.34533709 ...  0.17006958 -0.02485257
  0.00178679]",1,IR014_0
"[ 0.03541086 -0.00471062  0.0032487  ...  0.12702427  0.13059784
  0.184039  ]",1,IR014_0
"[-0.04044635  0.00373601  0.02014196 ...  0.04401992 -0.02209118
  0.01673082]",1,IR014_1
"[ 0.04775593 -0.0300505  -0.07390798 ...  0.03573573 -0.07585721
 -0.06871006]",1,IR014_1
"[-0.02663936  0.02647693  0.1262121  ... -0.123938   -0.11500407
  0.06627353]",1,IR014_2
"[-0.01494403 -0.12734914  0.07585721 ...  0.02907589  0.07390798
  0.09047637]",1,IR014_2
"[-0.00990854  0.06919737 -0.1059077  ...  0.02712667  0.20076982
  0.13076028]",1,IR014_3
"[ 0.03833469  0.05717717  0.05311629 ... -0.06269996  0.20856671
 -0.03459868]",1,IR014_3
"[ 1.18943124 -0.17786647 -0.77481557 ... -0.07025319  0.00609132
  0.14537944]",1,IR021_0
"[ 0.08446627 -0.07147146 -0.04954271 ...  0.60994391 -0.2002013
 -0.15187685]",1,IR021_0
"[ 0.17136906  0.11776547 -0.09705499 ...  0.15309511 -0.16568383
 -0.2667997 ]",1,IR021_1
"[ 0.14416118  0.30456587 -0.31187545 ...  0.4836506  -2.33622325
 -0.38050429]",1,IR021_1
"[-0.40202695  0.54821856  0.93156547 ... -0.32283982 -0.07268972
  0.14456727]",1,IR021_2
"[-0.09421238 -0.28141886  0.12872984 ...  0.21482046 -0.01096437
 -0.41258523]",1,IR021_2
"[-0.20629261 -0.00730958  0.22253613 ... -0.54090898  0.11126806
  0.58598473]",1,IR021_3
"[ 0.13157246 -0.47999581 -0.30172325 ... -0.66842056  1.54800679
  1.50658583]",1,IR021_3
[ 1.8379673  0.5232734 -0.329589  ... -0.0972491 -0.9985326 -1.2402312],1,IR028_0
[-0.3812653  0.2982577  0.0980629 ...  0.3308097 -1.3765427 -1.7443803],1,IR028_0
[ 0.4243967 -0.9016904 -0.6811506 ... -1.7997187  0.3153475  0.345865 ],1,IR028_1
[-1.5995239 -2.0190378 -0.134277  ... -0.7535788 -0.2180984  0.1477047],1,IR028_1
[ 0.0195312 -0.1086423 -0.2274571 ...  0.0565591 -0.4410796  0.0712075],1,IR028_2
[-0.0419107 -0.8345519  0.0191243 ...  0.2608229 -0.6909162 -1.2666797],1,IR028_2
[-0.9338355 -0.5749497  0.3812653 ... -0.2705885  0.4325347  1.9148714],1,IR028_3
[ 1.4473433 -0.8496072 -1.4432743 ...  0.8947731  1.3167284  0.6762678],1,IR028_3
"[-0.10200926  0.06724814  0.00503549 ... -0.10769449  0.40024016
 -0.04028391]",3,OR007@12_0
"[-0.2621703   0.16519653  0.24316539 ...  0.10379605 -0.00292383
 -0.15804938]",3,OR007@12_0
"[-0.10623257  0.05246655  0.16357218 ... -0.00178679 -0.06741058
  0.11435433]",3,OR007@12_1
"[ 0.09291289 -0.10103465  0.04775593 ... -0.01721812  0.16649601
 -0.01640595]",3,OR007@12_1
"[-0.916459   -0.60084754  0.72543529 ...  0.00893393  0.11175537
 -0.00812176]",3,OR007@12_2
"[-0.05051733 -0.07017198 -0.0453194  ...  0.07731912  0.07666938
 -0.01884248]",3,OR007@12_2
"[ 0.16438435  0.21506411 -0.22497265 ... -0.0605883  -0.06741058
 -0.11126806]",3,OR007@12_3
"[-0.03264946  0.06432431  0.0300505  ...  0.15756208 -0.10688232
 -0.22805892]",3,OR007@12_3
"[-0.16933862 -0.04060878  0.36507295 ...  0.2399979  -0.42842265
 -0.13725768]",3,OR007@3_0
"[ 0.73867375  0.38415908 -0.76953643 ... -1.4810023   1.13014242
  1.99470339]",3,OR007@3_0
"[ 0.0499488  -0.20548044 -0.0166496  ...  0.25380489  0.61441088
 -0.04223313]",3,OR007@3_1
"[-0.41664611 -0.01137046  0.22862745 ...  0.00568523  0.41624002
  0.3500477 ]",3,OR007@3_1
"[ 1.2207      1.41602824 -0.98516906 ... -1.0371483  -0.71593283
  0.81176956]",3,OR007@3_2
"[ 0.87105838 -0.74923204 -1.35836377 ...  0.24446487 -2.68221008
 -1.58617904]",3,OR007@3_2
"[ 0.10436457  0.62537525  0.12304461 ...  0.19126737 -0.08040539
 -0.14740988]",3,OR007@3_3
"[ 0.14131856  0.120202   -0.30659631 ... -0.45238184 -0.15471946
  0.25908403]",3,OR007@3_3
"[ 0.00852784  0.4235496   0.01299481 ...  0.08202974 -0.10639501
  0.00365479]",3,OR007@6_0
"[-0.0633497   0.44385399  0.46334621 ...  0.15918643 -0.01137046
 -0.00609132]",3,OR007@6_0
"[-0.11045589  0.21563263  0.0799993  ... -0.11614112  0.17867864
  0.23187615]",3,OR007@6_1
"[ 0.0735019  -0.21238393 -0.0735019  ... -0.01827395  0.18517605
  0.06131926]",3,OR007@6_1
"[-0.02964441  0.11938982  0.06253752 ...  0.01746178 -0.43654441
  0.44669661]",3,OR007@6_2
"[ 0.43085918 -0.43248353 -0.12466896 ...  0.00081218 -0.05644621
  0.04954271]",3,OR007@6_2
"[-0.10842545 -0.12710549  0.09867934 ...  1.33602894 -0.49745758
 -1.28242535]",3,OR007@6_3
"[ 0.5636499   1.06922924 -0.83775918 ...  0.24974401 -0.07025319
 -0.00690349]",3,OR007@6_3
"[ 0.00227353 -0.1049479   0.08200958 ...  0.05371222  0.1761176
  0.11079413]",3,OR014@6_0
"[-0.03564575  0.14631808  0.03028671 ... -0.05253485 -0.01554934
  0.05176347]",3,OR014@6_0
"[ 0.14623689 -0.08440491  0.01425018 ... -0.06662263  0.0101903
  0.08091341]",3,OR014@6_1
"[-0.03978683 -0.01875665  0.03032731 ...  0.01420958 -0.06609485
 -0.00868814]",3,OR014@6_1
"[ 0.16682048  0.03564575 -0.0371479  ... -0.12126862 -0.14335437
  0.11757413]",3,OR014@6_2
"[ 0.00649581 -0.29434132  0.02862216 ... -0.07506719  0.15155533
  0.02675461]",3,OR014@6_2
"[-0.15443784  0.02866275 -0.04323772 ...  0.03333162 -0.23648802
 -0.03256024]",3,OR014@6_3
"[ 0.21606683 -0.06337473 -0.12078144 ... -0.13060635  0.02655162
  0.17928431]",3,OR014@6_3
[0.13238463 0.14253683 0.00487305 ... 0.0966489  0.31106327 0.18720649],3,OR021@12_0
[0.06456796 0.17746038 0.20426218 ... 0.11167415 0.00812176 0.03614182],3,OR021@12_0
"[ 0.14253683 -0.11776547 -0.07837495 ... -0.04507575 -0.15228293
 -0.12426287]",3,OR021@12_1
"[-0.03939052 -0.1766482  -0.21522655 ...  0.01380699  0.1766482
  0.06984711]",3,OR021@12_1
"[-0.00487305  0.14740988  0.07309581 ...  0.00365479  0.02477136
  0.00081218]",3,OR021@12_2
"[-0.03208094 -0.12751158 -0.06172535 ... -0.09380629 -0.13197854
 -0.10964371]",3,OR021@12_2
"[ 0.04507575  0.11776547  0.03126876 ...  0.03126876  0.13482116
 -0.01786786]",3,OR021@12_3
"[-0.04223313  0.15553164  0.18314561 ...  0.01949222  0.01908613
  0.10801936]",3,OR021@12_3
"[ 0.03898443 -0.07065928 -0.33039305 ...  0.1114305   0.1266994
  0.33526611]",3,OR021@3_0
"[ 0.11857764 -0.13790743 -0.11159293 ...  0.32308347  0.4462093
  0.33883968]",3,OR021@3_0
"[-0.02387796 -0.11126806 -0.14261804 ... -0.30960136 -0.32633218
  0.00974611]",3,OR021@3_1
"[ 0.00990854 -0.12702427  0.00649741 ... -0.28539852 -0.08121756
 -0.02793884]",3,OR021@3_1
"[-0.1419683   0.038822    0.17607968 ...  0.17185637  0.07585721
 -0.08560331]",3,OR021@3_2
"[-0.12978567 -0.05067976 -0.22675944 ...  0.26103325  0.09843569
 -0.02810128]",3,OR021@3_2
"[ 0.08868958  0.06854762 -0.02306579 ... -0.16941984 -0.00714715
  0.06269996]",3,OR021@3_3
"[-0.00406088  0.07277094  0.09031393 ... -0.20450583 -0.24186591
 -0.09421238]",3,OR021@3_3
[0.10436457 0.01746178 0.11654721 ... 0.02233483 0.07837495 0.13400898],3,OR021@6_0
"[-0.00730958 -0.11045589 -0.00284261 ...  0.43816876  0.08730888
 -0.35207814]",3,OR021@6_0
"[-0.02598962 -0.02720788 -0.04791836 ...  0.05969491  0.12507505
 -0.02314701]",3,OR021@6_1
"[-0.09543064  0.03126876 -0.02923832 ... -0.05847665  0.04751228
  0.01096437]",3,OR021@6_1
"[-0.08771497 -0.00203044  0.09299411 ...  0.04101487  0.09746108
  0.13035419]",3,OR021@6_2
[0.20060739 0.26598752 0.20426218 ... 0.09867934 0.25380489 0.20060739],3,OR021@6_2
"[-0.27613972  0.06253752  0.04182705 ...  0.09421238  0.00934002
 -0.08446627]",3,OR021@6_3
"[ 0.03573573  0.01096437 -0.16487166 ... -0.13319681 -0.01705569
 -0.08406018]",3,OR021@6_3
[0.05319692 0.08866154 0.09971815 ... 0.06279323 0.08094277 0.05006769],0,Normal_0
"[-0.00584123 -0.07197231 -0.09325108 ...  0.00917908 -0.05987262
 -0.09909231]",0,Normal_0
"[-0.09930092 -0.06675692 -0.03150092 ... -0.05924677 -0.05653477
 -0.07155508]",0,Normal_0
"[-0.09095631 -0.10430769 -0.09158215 ... -0.03150092 -0.04151446
 -0.02086154]",0,Normal_0
"[-0.01001354 -0.01794092 -0.02878892 ... -0.04068    -0.00438092
  0.04005415]",0,Normal_0
"[ 0.046104   -0.03713354 -0.089496   ...  0.07155508  0.01940123
 -0.05507446]",0,Normal_1
"[-0.08720123 -0.07113785 -0.03775938 ... -0.05090215 -0.02899754
 -0.02107015]",0,Normal_1
"[-0.03650769 -0.05841231 -0.07656185 ...  0.08073415  0.04860738
  0.02086154]",0,Normal_1
"[ 0.01439446  0.03942831  0.07197231 ... -0.08031692 -0.07343262
 -0.03692492]",0,Normal_1
"[ 0.00020862 -0.00667569 -0.02524246 ... -0.02065292  0.03024923
  0.06571385]",0,Normal_1
"[ 0.06112431  0.06926031  0.08928738 ... -0.01502031 -0.02294769
 -0.00959631]",0,Normal_1
"[ 0.024408    0.05131938  0.03880246 ... -0.05298831 -0.02712
  0.01439446]",0,Normal_1
"[ 0.018984   -0.01043077 -0.02607692 ... -0.051528   -0.03838523
 -0.05424   ]",0,Normal_1
"[-0.02816308  0.02482523  0.07989969 ...  0.005424   -0.04652123
 -0.04088862]",0,Normal_1
"[-0.01731508  0.00792738 -0.01794092 ...  0.005424   -0.02607692
 -0.05403138]",0,Normal_1
"[ 0.046104   -0.03713354 -0.089496   ...  0.07155508  0.01940123
 -0.05507446]",0,Normal_2
"[-0.08720123 -0.07113785 -0.03775938 ... -0.05090215 -0.02899754
 -0.02107015]",0,Normal_2
"[-0.03650769 -0.05841231 -0.07656185 ...  0.08073415  0.04860738
  0.02086154]",0,Normal_2
"[ 0.01439446  0.03942831  0.07197231 ... -0.08031692 -0.07343262
 -0.03692492]",0,Normal_2
"[ 0.00020862 -0.00667569 -0.02524246 ... -0.02065292  0.03024923
  0.06571385]",0,Normal_2
"[ 0.06112431  0.06926031  0.08928738 ... -0.01502031 -0.02294769
 -0.00959631]",0,Normal_2
"[ 0.024408    0.05131938  0.03880246 ... -0.05298831 -0.02712
  0.01439446]",0,Normal_2
"[ 0.018984   -0.01043077 -0.02607692 ... -0.051528   -0.03838523
 -0.05424   ]",0,Normal_2
"[-0.02816308  0.02482523  0.07989969 ...  0.005424   -0.04652123
 -0.04088862]",0,Normal_2
"[-0.01731508  0.00792738 -0.01794092 ...  0.005424   -0.02607692
 -0.05403138]",0,Normal_2
"[ 0.06425354  0.06300185 -0.00438092 ... -0.02294769  0.008136
  0.04547815]",0,Normal_2
"[ 0.070512    0.04631262  0.01105662 ... -0.05215385 -0.03045785
 -0.008136  ]",0,Normal_2
"[ 0.00751015 -0.02962338 -0.08010831 ...  0.04902462  0.07092923
  0.11369538]",0,Normal_2
"[ 0.12350031  0.09971815  0.04526954 ...  0.02419938 -0.00208615
  0.010848  ]",0,Normal_2
"[ 0.04234892  0.04255754  0.00020862 ... -0.01543754 -0.04109723
 -0.03108369]",0,Normal_2
"[ 0.01418585  0.05131938  0.043392   ... -0.00730154 -0.02878892
 -0.02649415]",0,Normal_2
[0.002712   0.05090215 0.06258462 ... 0.09638031 0.06404492 0.05361415],0,Normal_2
"[ 0.05987262  0.08428062  0.10952308 ...  0.00125169 -0.04047138
 -0.06008123]",0,Normal_2
"[-0.03713354 -0.01230831 -0.00479815 ...  0.04756431  0.00375508
 -0.00020862]",0,Normal_2
"[ 0.03567323  0.10764554  0.16021662 ... -0.00166892 -0.03316985
 -0.03463015]",0,Normal_2
"[ 0.01460308  0.05444862  0.10764554 ... -0.02190462 -0.00563262
  0.03921969]",0,Normal_3
[0.07405846 0.07134646 0.03984554 ... 0.11327815 0.09784062 0.05736923],0,Normal_3
[0.03671631 0.06154154 0.09658892 ... 0.01063938 0.00855323 0.04860738],0,Normal_3
"[ 0.05882954  0.03233538  0.00354646 ...  0.09554585  0.059664
 -0.00458954]",0,Normal_3
"[-0.05549169 -0.04026277  0.02127877 ...  0.04380923  0.09033046
  0.12016246]",0,Normal_3
"[ 0.09074769  0.00917908 -0.07218092 ...  0.056952    0.05277969
  0.032544  ]",0,Normal_3
"[ 0.032544    0.075936    0.10868862 ... -0.01460308  0.04860738
  0.09471138]",0,Normal_3
"[ 0.10222154  0.05194523 -0.00771877 ...  0.04214031 -0.00062585
 -0.04756431]",0,Normal_3
"[-0.04777292 -0.002712    0.03463015 ... -0.07572738 -0.01648062
  0.00751015]",0,Normal_3
"[-0.01794092 -0.09033046 -0.11202646 ...  0.09846646  0.06028985
  0.02524246]",0,Normal_3
